FECHA (YYMMDD);HORA (HHMM);;
100212;0700;10,025;
100212;0800;11,125;
100212;0900;11,85;
100212;1000;12,525;
100212;1100;12,425;
100212;1200;12,7;
100212;1300;12,125;
100212;1400;12,1;
100212;1500;11,85;
100212;1600;11,675;
100212;1700;11,4;
100212;1800;10,8;
100212;1900;10,45;
100212;2000;10,35;
100212;2100;10,325;
100212;2200;10,375;
100212;2300;10,15;
100213;0000;9,575;
100213;0100;8,39999;
100213;0200;7,925;
100213;0300;7,75;
100213;0400;6,975;
100213;0500;6,575;
100213;0600;6,575;
100213;0700;7,75;
100213;0800;9,7;
100213;0900;9,47499;
100213;1000;10,475;
100213;1100;10,525;
100213;1200;10;
100213;1300;10,075;
100213;1400;10,725;
100213;1500;11,525;
100213;1600;10,65;
100213;1700;10,5;
100213;1800;10,45;
100213;1900;10,8;
100213;2000;9,97499;
100213;2100;9,14999;
100213;2200;9;
100213;2300;8,92499;
100214;0000;8,79999;
100214;0100;7,95;
100214;0200;7,75;
100214;0300;7,675;
100214;0400;6,55;
100214;0500;6,2;
100214;0600;6,925;
100214;0700;8,625;
100214;0800;9,25;
100214;0900;11,05;
100214;1000;12,325;
100214;1100;14,25;
100214;1200;14,8;
100214;1300;13,425;
100214;1400;13,175;
100214;1500;14,525;
100214;1600;14,65;
100214;1700;13,7;
100214;1800;13,55;
100214;1900;11,625;
100214;2000;10,175;
100214;2100;9,47499;
100214;2200;9,04999;
100214;2300;8,22499;
100215;0000;7,725;
100215;0100;7,075;
100215;0200;6,85;
100215;0300;5,675;
100215;0400;5,05;
100215;0500;4,77499;
100215;0600;4,1;
100215;0700;5,925;
100215;0800;9,27499;
100215;0900;10,65;
100215;1000;12,125;
100215;1100;14,1;
100215;1200;15,575;
100215;1300;17,1;
100215;1400;18,525;
100215;1500;19,65;
100215;1600;19,575;
100215;1700;18,6;
100215;1800;18,975;
100215;1900;15,2;
100215;2000;12,925;
100215;2100;11,95;
100215;2200;10,475;
100215;2300;9,2;
100216;0000;8,7;
100216;0100;7,52499;
100216;0200;6,75;
100216;0300;5,89999;
100216;0400;5,175;
100216;0500;4,6;
100216;0600;4,225;
100216;0700;6,625;
100216;0800;9,92499;
