FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150906;0000;37,1122;;;
150907;0000;37,4977;;;
150908;0000;87,0603;;;
150909;0000;30,328;;;
150910;0000;35,8583;;;
150911;0000;32,2791;;;
150912;0000;31,38;;;
150913;0000;14,7275;;;
150914;0000;61,8292;;;
150915;0000;84,7141;;;
150916;0000;19,847;;;
150917;0000;27,2051;;;
150918;0000;15,8298;;;
150919;0000;37,2051;;;
150920;0000;43,9312;;;
150921;0000;58,9949;;;
150922;0000;150,796;;;
150923;0000;99,2369;;;
150924;0000;85,0577;;;
150925;0000;52,6404;;;
150926;0000;38,1445;;;
150927;0000;41,6432;;;
150928;0000;42,4862;;;
150929;0000;75,9362;;;
150930;0000;44,6998;;;
151001;0000;51,3975;;;
151002;0000;105,458;;;
151003;0000;185,819;;;
151004;0000;87,5107;;;
151005;0000;22,8858;;;
151006;0000;31,2065;;;
151007;0000;25,739;;;
151008;0000;49,1729;;;
151009;0000;75,0294;;;
151010;0000;78,3842;;;
151011;0000;54,6078;;;
151012;0000;59,6099;;;
151013;0000;30,7387;;;
151014;0000;25,5067;;;
151015;0000;29,783;;;
151016;0000;45,3237;;;
151017;0000;21,9264;;;
151018;0000;16,6451;;;
151019;0000;20,7714;;;
151020;0000;17,8228;;;
151021;0000;45,0934;;;
151022;0000;46,3261;;;
151023;0000;20,6976;;;
151024;0000;29,9927;;;
151025;0000;38,2693;;;
151026;0000;14,6534;;;
151027;0000;24,3626;;;
151028;0000;13,9107;;;
151029;0000;;;11,2457;
151030;0000;12,9442;;;
151031;0000;17,4983;;;
151101;0000;19,6068;;;
151102;0000;18,5923;;;
151103;0000;20,451;;;
151104;0000;18,5454;;;
151105;0000;17,6218;;;
151106;0000;8,64507;;;
151107;0000;6,18128;;;
151108;0000;8,94199;;;
151109;0000;14,4209;;;
151110;0000;21,7461;;;
151111;0000;7,82745;;;
151112;0000;7,89417;;;
151113;0000;11,0327;;;
151114;0000;7,53587;;;
151115;0000;7,74062;;;
151116;0000;16,7454;;;
151117;0000;32,8416;;;
151118;0000;24,0916;;;
151119;0000;20,5767;;;
151120;0000;18,5875;;;
151121;0000;27,8656;;;
151122;0000;13,7863;;;
151123;0000;9,78915;;;
151124;0000;13,9538;;;
151125;0000;13,2487;;;
151126;0000;13,997;;;
151127;0000;10,0847;;;
151128;0000;8,21428;;;
151129;0000;5,53095;;;
151130;0000;9,47673;;;
151201;0000;24,9298;;;
151202;0000;11,5188;;;
151203;0000;6,21558;;;
151204;0000;9,18674;;;
151205;0000;12,8109;;;
151206;0000;8,42744;;;
151207;0000;9,6745;;;
151208;0000;6,33657;;;
151209;0000;5,82132;;;
151210;0000;5,17841;;;
151211;0000;;;5,89928;
151212;0000;;;1,39521;
